QuestionID,Difficulty,Question,Answer
40,Advanced,Wait if sstables are immutable how do you delete data,cassandra doesnt delete data immediately it writes a marker called a tombstone during compaction the old data and the tombstone are finally purged
41,Advanced,What is the commit log,Commit log is a crash recovery mechanism every write is logged there first if the server loses power before the memtable is flushed cassandra replays the commit log to recover data
42,Advanced,Explain anti entropy repair,It is a process run using nodetool repair that compares merkle trees between nodes to ensure all data is perfectly synchronized
43,Advanced,What is a merkle tree,Merkle tree is a hash tree used to find differences in data between nodes without sending the actual data over the network
44,Advanced,What is a materialized view in cassandra, Materialized view is a table that cassandra manages automatically to allow querying the same data with a different Primary Key
45,Advanced,What happens if a node stays down for a long time,The hints are deleted you must run a manual nodetool repair once the node comes back to ensure it gets the missed data
46,Advanced,What is the jmx interface used for,Jmx interface used for monitoring and managing the cassandra process through tools like jconsole or prometheus
47,Advanced,Explain multi dc replication,You can have one cluster span across two different physical datacenters cassandra handles the cross region replication automatically
48,Advanced,How do you refresh a table after manually adding an sstable file,I use nodetool import or the older sstableloader tool
49,Advanced,What is a custom payload in cql,It is a way for clients to send extra metadata to custom query handlers or triggers on the server side
50,Advanced,Does cassandra support acid,It supports atomicity and isolation at the row level but it does not support multi table transactions like a sql database
51,Advanced,When should you not use cassandra,If your data is small if you need complex joins or if your query patterns change every day cassandra is for massive predictable workloads
